timeOpen;e_open;e_high;e_low;e_close
1-Jan-2023;88257.6332046825;88756.3098138657;87975.3008808606;88511.1080868747
31-Dec-2022;88404.713747065;88875.2887764927;88072.5271697953;88261.878873495
30-Dec-2022;88916.1423833201;88950.5546966646;87515.3992725253;88395.3263927415
29-Dec-2022;86573.2484233465;88918.0442666623;86453.2192699655;88918.0442666623
28-Dec-2022;85501.0764130739;86571.4941840619;84919.0336712859;86571.4941840619
27-Dec-2022;83882.9781114178;85504.9564292566;83882.9781114178;85504.9564292566
26-Dec-2022;85415.8292142952;85415.8292142952;83018.0790812009;83882.105571563
25-Dec-2022;85787.2956307977;85952.1193765096;84561.2959477027;85418.7598482599
24-Dec-2022;84340.7808948517;86050.038760351;84340.7808948517;85785.6856014691
23-Dec-2022;83133.9220257945;85215.05345965;82991.6587059173;84343.6523793397
22-Dec-2022;87900.2419962887;87900.2419962887;81468.0648209801;83140.941612208
21-Dec-2022;85535.4400046694;87894.9794625734;84046.6469910862;87894.9794625734
20-Dec-2022;79999.8515941165;86298.535647246;79843.4454396763;85543.6728361257
19-Dec-2022;76861.1842012727;79981.1635933047;76861.1842012727;79981.1635933047
18-Dec-2022;77079.8330185415;77474.6588746887;76305.0511415052;76858.388844197
17-Dec-2022;75778.3271131326;77139.291055251;75605.8267521162;77081.1977524705
16-Dec-2022;81876.6886319826;82920.424973278;75396.1434906399;75790.819764977
15-Dec-2022;84770.1077903444;84891.5940859341;81632.8776672248;81869.7916510218
14-Dec-2022;83487.3316875539;87097.4890270578;83434.1448277107;83434.1448277107
13-Dec-2022;80622.4075573515;84799.0878420424;79428.4855854321;83478.5200566527
12-Dec-2022;79215.9467847798;80682.3566895986;77611.6662966582;80619.6591656399
11-Dec-2022;79170.1154567896;80130.6800277838;79033.5304942139;79234.4482805204
10-Dec-2022;79042.4336046734;79989.6937845371;78901.4291665363;79168.0044696208
9-Dec-2022;81060.1677467796;81628.254663375;78820.0839730884;79036.7636828662
8-Dec-2022;77089.7962361378;81225.4147744729;76708.6571492892;81062.6346677807
7-Dec-2022;80616.470347139;80688.8077782464;77088.8954097247;77088.8954097247
6-Dec-2022;78835.3742731809;80639.9300012836;78694.2602600657;80622.8549008514
5-Dec-2022;77503.9235708773;80888.4861361348;77503.9235708773;78824.2644458188
4-Dec-2022;77701.1872805328;77701.1872805328;77519.5303469583;77519.5303469583
3-Dec-2022;80903.519403563;81240.0088476744;77589.4840875262;77708.4186413941
2-Dec-2022;78130.4604304778;80893.9481242622;77950.576332448;80893.9481242622
1-Dec-2022;79074.3391879883;79088.3960219195;77602.7734067315;78127.1094172663
30-Nov-2022;74044.0262040013;79456.9191548671;73956.9702792854;79069.4023587549
29-Nov-2022;71976.6403247594;74356.4738111454;70972.1334071301;74042.3515440217
28-Nov-2022;72295.1037574897;72295.1037574897;70317.5129290907;71989.6668043585
27-Nov-2022;73258.633661366;74136.1152114938;72299.8672270162;72305.1810122308
26-Nov-2022;72826.407277976;74542.4504502369;72784.336247295;73258.1852117339
25-Nov-2022;72667.3560068289;72834.6367286048;71153.1820054778;72834.6367286048
24-Nov-2022;71913.0636033847;73261.0523225026;71767.0897026329;72678.449681117
23-Nov-2022;68880.3466225899;72013.4688472373;68552.8331843895;71904.2178713366
22-Nov-2022;69297.7247235599;69297.7247235599;65802.0142744039;67238.2375500983
21-Nov-2022;69514.7810646167;69514.7810646167;66149.17295069;67232.6924598059
20-Nov-2022;74141.8428424652;74485.1318031045;69243.2322199421;69519.0954721624
19-Nov-2022;73763.3116422443;74713.8956568812;73048.9371536371;74141.2688916875
18-Nov-2022;72528.4561877158;74094.9484350858;72528.4561877158;73768.4676019498
17-Nov-2022;73604.4438782031;73865.4285887371;71991.3022096799;72528.8445203586
16-Nov-2022;76047.2648466562;76501.4251132056;72082.7080554479;73589.5438557118
15-Nov-2022;76207.9696407663;77729.1235627101;75250.1892887829;76042.8552242457
14-Nov-2022;73985.7654195197;77935.953701402;70705.7507847095;76203.4573358437
13-Nov-2022;76016.9612728298;77002.1904856954;73175.9372610969;73981.1475245351
12-Nov-2022;77954.3862109092;77997.5285021025;75212.3091587715;76006.4908398456
11-Nov-2022;78907.1096238976;79114.4401675924;73221.8378932761;77941.2311783434
10-Nov-2022;67821.6108970429;81379.6273254473;67391.0048421309;78942.4763474642
9-Nov-2022;81287.1417838354;81446.9567422775;66784.5624040534;67825.4667780838
8-Nov-2022;96766.0936241153;97165.3059070545;76794.5417759349;81269.6489469677
7-Nov-2022;97465.0606831294;98996.1291508563;95544.362105568;96782.2373188776
6-Nov-2022;100929.8742769112;101316.2232070607;97478.5628005764;97478.5628005764
5-Nov-2022;101999.7146620855;102950.1670965945;100809.7874593664;100934.0277467008
4-Nov-2022;95482.6439495049;103501.1478719381;95349.8917257518;101995.7988966085
3-Nov-2022;94146.8024595207;96168.8384082245;93984.299920489;95491.6324010225
2-Nov-2022;97533.8481850029;100353.9874134276;93373.6640003557;94145.9985197076
1-Nov-2022;97228.7899794264;98605.4275866819;96384.735098168;97546.6088589315
31-Oct-2022;97790.74250958;99987.5223224434;95939.5110832231;97233.0623995104
30-Oct-2022;99651.9145697123;100718.7571784834;97114.6489742262;97809.3143519466
29-Oct-2022;95688.2755418725;101662.8176606992;95362.7483679591;99651.9492972858
28-Oct-2022;92865.8648208183;96510.204733246;91910.4173900586;95700.7779434306
27-Oct-2022;96008.2057061673;96471.5694776696;92650.8361625862;92869.0350709758
26-Oct-2022;90590.3939291748;97098.6177558367;90546.7131765906;95991.3703251538
25-Oct-2022;83371.9648754784;93241.4637592032;82892.5547904855;90623.3922059998
24-Oct-2022;84059.2712436109;84363.4334434421;82119.1474875955;83389.7677554025
23-Oct-2022;81023.4800592609;84322.4500651647;80324.326299716;84056.5124802872
22-Oct-2022;80138.9802275015;81199.2827767152;79895.1240793647;81026.5486627308
21-Oct-2022;79108.5455464761;80458.264162491;77720.105949588;80141.6994730847
20-Oct-2022;79721.1183161084;80563.8625676758;79080.1816819514;79109.3381646706
19-Oct-2022;81648.0813599623;81765.1559209568;79616.013311237;79726.3213589788
18-Oct-2022;82630.1199273775;83090.2855841026;80405.8837063565;81640.8490729634
17-Oct-2022;81840.301957708;82876.9517791768;81285.0759352937;82632.8307248742
16-Oct-2022;79879.1022948578;82236.5604478885;79879.1022948578;81839.488573993
15-Oct-2022;81276.2219730586;81491.7393473475;79469.5544124865;79870.7138517139
14-Oct-2022;82434.9991347152;86681.4825352649;81283.4986170552;81283.4986170552
13-Oct-2022;82518.6180486098;82687.2894512796;77061.2577977136;82439.8107520165
12-Oct-2022;82107.6235844413;83168.7786079751;81966.159768489;82517.9130446697
11-Oct-2022;82385.7068514363;83933.7353171886;82097.5755303672;82097.5755303672
10-Oct-2022;85136.9691021563;85976.6167852146;82400.2525858933;82400.2525858933
9-Oct-2022;82019.0779431141;85136.0440957367;81637.7673324457;85136.0440957367
8-Oct-2022;83073.4901309178;83296.9194873649;81496.1374816459;82021.5911093898
7-Oct-2022;81819.8982292409;83082.5710759398;81485.6496513994;83082.5710759398
6-Oct-2022;82960.7326957546;83859.599083251;81675.4543990916;81812.2164263326
5-Oct-2022;80390.4474018607;82962.6037076785;80190.4325283233;82962.6037076785
4-Oct-2022;76783.2284405183;80567.4069196855;76597.4557593742;80399.5204271704
3-Oct-2022;76888.8481042599;76973.3246269419;76586.8449552287;76792.5689183404
2-Oct-2022;78967.5586730465;79243.0724956162;76839.0010419011;76884.6394410495
1-Oct-2022;79957.2646396972;80217.4957823697;78627.3726282649;78960.9973420478
30-Sep-2022;77968.2131389745;83151.1613409656;77968.2131389745;79944.3166335167
29-Sep-2022;78180.195550971;78180.195550971;75500.5094117212;77968.5569892632
28-Sep-2022;78309.9838044665;79022.465487982;74075.2629015647;78171.8029093885
27-Sep-2022;77616.3246350237;81194.1725323686;77616.3246350237;78344.5203312724
26-Sep-2022;74103.6086081317;77627.3323468306;74103.6086081317;77615.3489511312
25-Sep-2022;76275.7010654158;77168.8779494954;73826.962648705;74093.9116132504
24-Sep-2022;76872.1697380819;77914.5343270487;75969.0660276926;76278.8678704756
23-Sep-2022;79516.1260640258;80554.4875020807;72776.6462558261;76873.0310282597
22-Sep-2022;77096.5425276575;80035.8607426789;76443.6347976822;79528.0436496802
21-Sep-2022;81306.8374861298;85041.3615679168;75732.6766104785;77160.6342536351
20-Sep-2022;82760.4591639735;83021.5858053086;80998.9660893312;81317.4379947178
19-Sep-2022;85951.3821361902;85951.3821361902;77470.550527721;82755.7952687383
